,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__activation_fun,param_module__hidden_layers,param_module__num_units,param_optimizer,param_optimizer__momentum,param_optimizer__nesterov,param_optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
69,5.9828506231307985,1.046947304672262,0.009160828590393067,0.00465784430600118,660,0.029,1000,tanh,1,42,<class 'torch.optim.sgd.SGD'>,0.9,True,0.01,"{'batch_size': 660, 'lr': 0.029, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 42, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.01}",1.0669936935760473,1.0764245276052253,1.207186123734354,1.2368697705293508,1.1881374419295698,1.2542979613338645,1.1320901258211387,1.0974975053108948,1.2726364527317815,1.0567250367479795,1.1588858639320205,0.07840927503234196,288
51,6.065012884140015,1.2996623650940489,0.00665888786315918,0.0037488881703420093,660,0.028,1000,tanh,1,42,<class 'torch.optim.sgd.SGD'>,0.9,True,0.01,"{'batch_size': 660, 'lr': 0.028, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 42, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.01}",1.0683231996582414,1.080930666507859,1.2075109840895897,1.2401896005958544,1.1935739177174138,1.2631463137336243,1.1405385916954593,1.1105467941527976,1.2567565489308279,1.0734156568845112,1.1634932273966179,0.07394027907674562,287
70,5.702570557594299,1.201309411951139,0.009409117698669433,0.008672993986013332,660,0.029,1000,tanh,1,42,<class 'torch.optim.sgd.SGD'>,0.9,True,0.0115,"{'batch_size': 660, 'lr': 0.029, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 42, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.0115}",1.1031009401369811,1.085599775152995,1.2053598044230078,1.2265541467787628,1.1873840414323753,1.264649143680594,1.1150847601431204,1.1257931538962556,1.2880919375561906,1.0513415697002502,1.1652959272900534,0.07621181624579627,286
21,6.068443727493286,1.0466212115439169,0.006312036514282226,0.003738603713055853,660,0.0273,1000,tanh,1,38,<class 'torch.optim.sgd.SGD'>,0.9,True,0.01,"{'batch_size': 660, 'lr': 0.0273, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 38, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.01}",1.0698230984739792,1.0581740192452769,1.2117460554927812,1.28039491291445,1.2005264347881304,1.268342262217985,1.154746833880593,1.104999588228258,1.2634247412582986,1.0666277062034968,1.1678805652703248,0.0842021978644794,285
33,5.816689300537109,0.7337408273933639,0.008820867538452149,0.004987304216630068,660,0.0273,1000,tanh,1,42,<class 'torch.optim.sgd.SGD'>,0.9,True,0.01,"{'batch_size': 660, 'lr': 0.0273, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 42, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.01}",1.0936458026220028,1.0770943625865126,1.219562470016623,1.2540999721539647,1.1765572177456285,1.2654888422081345,1.139521595258686,1.126393385791689,1.236376174130386,1.0923882536872318,1.168112807620086,0.06809993790533807,284
28,4.995673489570618,0.9624999379616473,0.008102202415466308,0.004029011515315832,660,0.0273,1000,tanh,1,40,<class 'torch.optim.sgd.SGD'>,0.9,True,0.0115,"{'batch_size': 660, 'lr': 0.0273, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 40, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.0115}",1.0987462438362883,1.0667384410823197,1.2265493189986039,1.2263391852602923,1.2048077074656809,1.2715994396660113,1.1634669559902715,1.1376398835415231,1.2582300404520859,1.0670347367131123,1.1721151953006188,0.07285430804253579,283
123,6.799400353431702,1.2612237932708938,0.008346962928771972,0.005086508809728522,688,0.028,1000,tanh,1,42,<class 'torch.optim.sgd.SGD'>,0.9,True,0.01,"{'batch_size': 688, 'lr': 0.028, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 42, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.01}",1.1028211535185688,1.1060077380248927,1.1956378434385573,1.2304405478718585,1.189164727261024,1.2779682523718006,1.1320235020011888,1.1541203897922558,1.2791452654322286,1.0575316078170682,1.1724861027529445,0.07151027457632513,282
285,11.854699063301087,4.513901219706317,0.013596630096435547,0.007280009831186113,720,0.029,1000,tanh,1,42,<class 'torch.optim.sgd.SGD'>,0.9,True,0.01,"{'batch_size': 720, 'lr': 0.029, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 42, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.01}",1.1146086256642986,1.0859047510430104,1.2278520088446767,1.2236296013557821,1.1892571953454412,1.2500580971066217,1.1682851537501902,1.131430093157,1.268744098680808,1.0683611108582804,1.172813073580611,0.06680991557686108,281
135,6.539482164382934,0.9981886382956545,0.011117196083068848,0.006071070764875106,688,0.029,1000,tanh,1,40,<class 'torch.optim.sgd.SGD'>,0.9,True,0.01,"{'batch_size': 688, 'lr': 0.029, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 40, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.01}",1.100416460431608,1.0831162023421068,1.2210218395505632,1.2233892059079687,1.2034006941419346,1.270572085437694,1.1338240379901756,1.1266544996235603,1.281592624584087,1.0844948946526556,1.1728482544662353,0.07207294459683315,280
34,5.256273794174194,0.9022310202186992,0.007602524757385254,0.0061615888456853455,660,0.0273,1000,tanh,1,42,<class 'torch.optim.sgd.SGD'>,0.9,True,0.0115,"{'batch_size': 660, 'lr': 0.0273, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 42, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.0115}",1.1011643760410466,1.0817637603197778,1.2205071165261412,1.2573378131465804,1.2019864623819976,1.2579891728727441,1.1533111818975075,1.134116748950087,1.2615344954052365,1.061713921188405,1.1731425048729522,0.072828481765424,279
