,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__activation_fun,param_module__hidden_layers,param_module__num_units,param_optimizer,param_optimizer__momentum,param_optimizer__nesterov,param_optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
351,7.446227073669434,2.060713214120553,0.0033043622970581055,0.0009226367953307806,1085,0.010735108419990699,1000,tanh,2,24,<class 'torch.optim.sgd.SGD'>,0.9,True,0.023253784042946125,"{'batch_size': 1085, 'lr': 0.010735108419990699, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 2, 'module__num_units': 24, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.023253784042946125}",1.1502197325733818,1.023527391142863,1.2134118922250836,1.2756907940471083,1.26270764676812,1.314162513591293,1.2206365122718918,1.1306862717676431,1.294009351136541,1.1039454308761791,1.1988997536400103,0.08931816826463292,364
193,10.116813659667969,3.3605441285497974,0.0034737348556518554,0.0009367615276111919,769,0.020812462135460005,1000,tanh,1,20,<class 'torch.optim.sgd.SGD'>,0.95,True,0.005466734101478566,"{'batch_size': 769, 'lr': 0.020812462135460005, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 20, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.95, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.005466734101478566}",1.0757147167298131,1.0659857184479111,1.2361159331368325,1.292052864300129,1.2461490572843337,1.2766235330653257,1.166664291901472,1.200361544924571,1.345336578534286,1.1046826569645694,1.2009686895289247,0.09082719006764214,363
151,11.149165821075439,5.130889202894639,0.0035589933395385742,0.0009024770975009968,828,0.04133048981810827,1000,sigmoid,2,86,<class 'torch.optim.sgd.SGD'>,0.95,False,0.0034672080529476123,"{'batch_size': 828, 'lr': 0.04133048981810827, 'max_epochs': 1000, 'module__activation_fun': 'sigmoid', 'module__hidden_layers': 2, 'module__num_units': 86, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.95, 'optimizer__nesterov': False, 'optimizer__weight_decay': 0.0034672080529476123}",1.1856621197403823,1.1130394454121142,1.2065055271176468,1.2100373923330379,1.2914559494676,1.3089597038644598,1.216286160948133,1.0884872838798771,1.2796168764282887,1.111037570090654,1.2011088029282193,0.07422154886210644,362
947,8.08306963443756,0.9839476211947097,0.008913326263427734,0.01338529159862057,950,0.03879255516015572,1000,sigmoid,2,46,<class 'torch.optim.sgd.SGD'>,0.95,False,0.006564927955118283,"{'batch_size': 950, 'lr': 0.03879255516015572, 'max_epochs': 1000, 'module__activation_fun': 'sigmoid', 'module__hidden_layers': 2, 'module__num_units': 46, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.95, 'optimizer__nesterov': False, 'optimizer__weight_decay': 0.006564927955118283}",1.1546948065042943,1.0404348630542146,1.234074558922671,1.2328231527813172,1.2611948228056045,1.3189655511983132,1.2169992572494917,1.2035938508080362,1.28407564613604,1.1683973402180003,1.2115253849677983,0.07395311015989346,361
378,5.247426080703735,1.7317884419453582,0.008316588401794434,0.01600235290266649,894,0.05410787508880848,1000,sigmoid,1,16,<class 'torch.optim.sgd.SGD'>,0.9,True,0.0013677428208289544,"{'batch_size': 894, 'lr': 0.05410787508880848, 'max_epochs': 1000, 'module__activation_fun': 'sigmoid', 'module__hidden_layers': 1, 'module__num_units': 16, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.0013677428208289544}",1.1218969037378193,1.1299849337148935,1.249100280309418,1.2823251988878823,1.2866232118996463,1.3015154175796455,1.2664447754509467,1.1858310424967815,1.3132389836237395,1.0733331645076924,1.2210293912208463,0.08189035908655816,360
641,26.4429194688797,2.4790641332046985,0.004329681396484375,0.00016886331440102084,1295,0.006314174019527714,1000,tanh,1,125,<class 'torch.optim.sgd.SGD'>,0.9,True,0.005152000324381168,"{'batch_size': 1295, 'lr': 0.006314174019527714, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 125, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.005152000324381168}",1.1705082998351943,1.124607905969584,1.2528711100269978,1.318976045159021,1.3036456137223351,1.276232776729236,1.229392938820043,1.113266825409872,1.3340618762194663,1.1283700963425818,1.2251933488234332,0.08074726078377047,359
320,7.421500849723816,1.9184343360226326,0.008315277099609376,0.013114773449866151,1254,0.018516293296207183,1000,tanh,1,93,<class 'torch.optim.sgd.SGD'>,0.95,False,0.011217403734039687,"{'batch_size': 1254, 'lr': 0.018516293296207183, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 93, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.95, 'optimizer__nesterov': False, 'optimizer__weight_decay': 0.011217403734039687}",1.1176231327270598,1.0943107033022363,1.1934562290465474,1.3623260314107166,1.2664725047193075,1.402534129084053,1.1758159997319817,1.1389190633326096,1.4005102376292522,1.1029616359508398,1.2254929666934602,0.11714309075390529,358
167,3.9383880615234377,0.7402489447451462,0.0037646055221557616,0.0006299728521247761,821,0.42123422390674836,1000,sigmoid,1,11,<class 'torch.optim.sgd.SGD'>,0.9,False,0.005464433545763959,"{'batch_size': 821, 'lr': 0.42123422390674836, 'max_epochs': 1000, 'module__activation_fun': 'sigmoid', 'module__hidden_layers': 1, 'module__num_units': 11, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': False, 'optimizer__weight_decay': 0.005464433545763959}",1.1685740863694285,1.1233915200358944,1.2880579109926868,1.2959776060809767,1.2966917023286784,1.3138651499958862,1.2262120596448283,1.1634611433609985,1.3283639328932404,1.1553532641776132,1.235994837588023,0.07326213794519215,357
644,4.334630346298217,1.0580450227047251,0.00933668613433838,0.014203594259464358,887,0.010294756894017484,1000,tanh,2,62,<class 'torch.optim.sgd.SGD'>,0.95,True,0.028737759852445255,"{'batch_size': 887, 'lr': 0.010294756894017484, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 2, 'module__num_units': 62, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.95, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.028737759852445255}",1.154099365367197,1.1341826891372526,1.2840748006351907,1.237980740578999,1.3633795191806959,1.3935032036799686,1.2207780586261499,1.229128379234694,1.323310161107465,1.064953408232241,1.2405390325779855,0.09867891816480343,356
284,3.5741363286972048,0.8771065539542272,0.003309154510498047,0.0008250562907553068,914,0.09019092941668427,1000,sigmoid,1,113,<class 'torch.optim.sgd.SGD'>,0.95,False,0.004598643146271564,"{'batch_size': 914, 'lr': 0.09019092941668427, 'max_epochs': 1000, 'module__activation_fun': 'sigmoid', 'module__hidden_layers': 1, 'module__num_units': 113, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.95, 'optimizer__nesterov': False, 'optimizer__weight_decay': 0.004598643146271564}",1.1429553860448356,1.1628687527955026,1.3245529464929175,1.3489630370771974,1.3934309367174493,1.3274482886369963,1.2891664027159375,1.1716914217554986,1.4028747866588427,1.029619119638069,1.2593571078533246,0.11819560814796187,355
217,6.750073981285095,1.818487154967815,0.008625674247741699,0.01604906754552846,901,0.005125261292510781,1000,tanh,2,19,<class 'torch.optim.sgd.SGD'>,0.95,True,0.02550240673429487,"{'batch_size': 901, 'lr': 0.005125261292510781, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 2, 'module__num_units': 19, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.95, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.02550240673429487}",1.1773711062295544,1.1498642386658524,1.3375941001270946,1.2884990579651712,1.3268636804830312,1.3470954857486532,1.274457149487689,1.2322298470688493,1.3556345865914696,1.1565176171786857,1.264612686954605,0.07646491715679929,354
709,4.028172898292541,0.48017113698398867,0.004741263389587402,0.0005360946703021961,700,0.015009530598151796,1000,tanh,2,61,<class 'torch.optim.sgd.SGD'>,0.95,False,0.050234803552761095,"{'batch_size': 700, 'lr': 0.015009530598151796, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 2, 'module__num_units': 61, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.95, 'optimizer__nesterov': False, 'optimizer__weight_decay': 0.050234803552761095}",1.1995563871206198,1.1686924316157075,1.2859314361349083,1.3932397341761822,1.32504049654966,1.3291423791893442,1.3631602986190552,1.2790307641253436,1.4617608787029757,1.1826360778685547,1.298819088410235,0.09058384672987803,353
