,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_momentum,param_n_iter_no_change,param_random_state,param_solver,param_tol,param_validation_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
3,1.0607455968856812,0.041268832543901804,0.0074629545211791996,0.016606202356189897,logistic,0.06,1000,True,"(8, 8)",constant,0.22,500,0.45,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.06, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (8, 8), 'learning_rate': 'constant', 'learning_rate_init': 0.22, 'max_iter': 500, 'momentum': 0.45, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2023115172388863,1.1654331373945261,1.2397633483591042,1.3114211425475064,1.3110104833526912,1.3334229932858288,1.2818661927212316,1.1467044193213545,1.3672856545134642,1.16216007059348,1.2521378959328073,0.0755620734920826,81
30,0.8380409002304077,0.2212821095315815,0.0025651216506958007,0.0010404447337495732,logistic,0.065,1000,True,"(8, 8)",constant,0.22,500,0.45,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.065, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (8, 8), 'learning_rate': 'constant', 'learning_rate_init': 0.22, 'max_iter': 500, 'momentum': 0.45, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2023331097241823,1.1654633271694215,1.239779844671281,1.311457878868609,1.3110110617120827,1.3334541903671793,1.2818974132522976,1.1467351919548816,1.3672932647407805,1.1621812365735362,1.2521606519034252,0.07555877316532418,80
57,0.8145763874053955,0.2225144919395946,0.0032599925994873046,0.002513146165559283,logistic,0.07,1000,True,"(8, 8)",constant,0.22,500,0.45,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.07, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (8, 8), 'learning_rate': 'constant', 'learning_rate_init': 0.22, 'max_iter': 500, 'momentum': 0.45, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2023547139393582,1.165493526808176,1.2397963675891117,1.3114946331812716,1.3110116526274114,1.333485401993943,1.281928642920863,1.1467659749850236,1.3673008799179727,1.1622024160111868,1.2521834209974319,0.07555547398624307,79
36,1.2290648460388183,0.18033458911725245,0.016532635688781737,0.02628440894244347,logistic,0.065,1000,True,"(10, 10)",constant,0.2,500,0.45,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.065, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.45, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.1882295407094399,1.143740851204391,1.2822343289472597,1.3259719581643898,1.32326308132982,1.3557040249841892,1.2836770954042327,1.2214564305837248,1.402874439345869,1.1907905926939617,1.2717942343367277,0.07907815782062426,78
63,1.3613897562026978,0.24129068076163215,0.004406070709228516,0.004211199951336635,logistic,0.07,1000,True,"(10, 10)",constant,0.2,500,0.45,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.07, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.45, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.1882556773995696,1.1437653757615016,1.2822695844591168,1.3259904985462634,1.3232890627029301,1.3557156075535706,1.2837048209824458,1.2214845077703502,1.4028829768958446,1.19079030036065,1.2718148412432242,0.07907615540038213,77
9,1.3897545337677002,0.2239529615930407,0.010985684394836426,0.02126844150950926,logistic,0.06,1000,True,"(10, 10)",constant,0.2,500,0.45,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.06, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.45, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.1882034398402608,1.1437163778839907,1.285940779329873,1.3259534535024955,1.3232371211848037,1.3556924951024591,1.2836494159332195,1.2214283829084573,1.4028659140913484,1.1907908830219098,1.2721478262798818,0.07913743423111042,76
0,1.044835138320923,0.24534656886541348,0.0081298828125,0.01869153991214243,logistic,0.06,1000,True,"(8, 8)",constant,0.2,500,0.45,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.06, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (8, 8), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.45, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.1947241545623095,1.1564134875525462,1.2657700005468382,1.2800213203179085,1.3124119611863578,1.317301765783494,1.3155377564562658,1.2388576550238986,1.4873629680327514,1.1962849452586723,1.2764686014721043,0.08833378402496271,75
6,0.94336838722229,0.3389208457477647,0.008282923698425293,0.017572736699888184,logistic,0.06,1000,True,"(8, 8)",constant,0.24,500,0.45,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.06, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (8, 8), 'learning_rate': 'constant', 'learning_rate_init': 0.24, 'max_iter': 500, 'momentum': 0.45, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2308899618911973,1.1449561663270038,1.2528450978614607,1.3302749577892163,1.3225159725981146,1.3508557005007955,1.3385676574076406,1.2261462863213572,1.3656700773346426,1.2171050182988465,1.2779826896330275,0.0695173141024423,74
33,0.9795136451721191,0.16108455127825455,0.010532522201538086,0.01998473710131032,logistic,0.065,1000,True,"(8, 8)",constant,0.24,500,0.45,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.065, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (8, 8), 'learning_rate': 'constant', 'learning_rate_init': 0.24, 'max_iter': 500, 'momentum': 0.45, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.230925695484267,1.1450116549651763,1.2528802683958422,1.330309652076693,1.3225168503698737,1.3508780930393292,1.3385701246448642,1.2261644925893906,1.3656740480227558,1.2171191044439176,1.278004998403211,0.06950614275549336,73
60,0.7729389667510986,0.25847509608358366,0.001883864402770996,0.000272448438144985,logistic,0.07,1000,True,"(8, 8)",constant,0.24,500,0.45,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.07, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (8, 8), 'learning_rate': 'constant', 'learning_rate_init': 0.24, 'max_iter': 500, 'momentum': 0.45, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.230961446791018,1.145067160537804,1.2529154456998188,1.3303443856619601,1.3225175858940597,1.3509005442925608,1.3385725833107436,1.2261827410843713,1.3656780357359888,1.217133216045861,1.2780273145054186,0.06949496509195104,72
