,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_momentum,param_n_iter_no_change,param_random_state,param_solver,param_tol,param_validation_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
522,2.094804787635803,0.3269388563171093,0.0016878128051757812,0.00037741022170846827,logistic,0.05036328906487874,268,True,"(100, 100)",constant,0.052809039615155644,5000,0.5,50,69,adam,0.0010629910758294106,0.3,"{'activation': 'logistic', 'alpha': 0.05036328906487874, 'batch_size': 268, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'learning_rate_init': 0.052809039615155644, 'max_iter': 5000, 'momentum': 0.5, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0010629910758294106, 'validation_fraction': 0.3}",1.1359261429995549,1.2303860258955681,1.1486806147726982,1.0230668136434098,1.0079464299425032,1.0874619424399308,1.2220778271832378,1.1230603393608385,1.1276519571961883,1.1445429449426063,1.1250801038376537,0.06863246119882524,1712
1704,1.2770045280456543,0.1467174692687509,0.0009848356246948242,5.1630593359430504e-05,tanh,0.04637842399331664,39,True,"(25, 25)",adaptive,0.04318321639596167,5000,0.3,10,69,sgd,0.0010305078393960051,0.3,"{'activation': 'tanh', 'alpha': 0.04637842399331664, 'batch_size': 39, 'early_stopping': True, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'adaptive', 'learning_rate_init': 0.04318321639596167, 'max_iter': 5000, 'momentum': 0.3, 'n_iter_no_change': 10, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0010305078393960051, 'validation_fraction': 0.3}",1.230759711868826,1.3286810052454845,1.1679243172716285,1.0784781007516213,1.0662715898490382,1.0408195707517405,1.2037260015064253,1.1907472394851975,1.1396424590343859,1.0891798509665587,1.1536229846730905,0.08428430368881629,1711
1525,2.1580245733261108,0.10745420645318536,0.0010814428329467773,0.00026583336819478384,tanh,0.0802015265666357,641,True,"(25, 25)",adaptive,0.08314125408339128,5000,0.1,50,69,sgd,0.0010136701561815845,0.3,"{'activation': 'tanh', 'alpha': 0.0802015265666357, 'batch_size': 641, 'early_stopping': True, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'adaptive', 'learning_rate_init': 0.08314125408339128, 'max_iter': 5000, 'momentum': 0.1, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0010136701561815845, 'validation_fraction': 0.3}",1.2124033056776344,1.3476334218455646,1.2057872594816224,1.0342184558322256,1.0467296587692714,1.0260476676284356,1.2013345290100428,1.1921222736436932,1.1552285392627453,1.1458000692374741,1.156730518038871,0.09460505719812379,1710
1156,0.7757086992263794,0.16185035342101745,0.0014269113540649413,0.0002703347609881326,logistic,0.0253222322112038,172,True,"(50, 50)",constant,0.04522264859305097,5000,1,25,69,adam,0.001066320457565434,0.3,"{'activation': 'logistic', 'alpha': 0.0253222322112038, 'batch_size': 172, 'early_stopping': True, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'learning_rate_init': 0.04522264859305097, 'max_iter': 5000, 'momentum': 1, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'adam', 'tol': 0.001066320457565434, 'validation_fraction': 0.3}",1.1405707875913553,1.2838236554562805,1.32306039810071,0.9923908675535256,1.0385985049408812,1.1434823353398547,1.2171211531382422,1.136447683402753,1.1243416498306724,1.170792763668842,1.1570629799023116,0.0951429143282983,1709
24,1.3704657316207887,0.33503277832331557,0.0016782760620117187,0.0004907063614484915,tanh,0.06934111521663792,93,True,"(50, 50)",constant,0.055044122426660395,5000,0.3,50,69,adam,0.001010642168087602,0.3,"{'activation': 'tanh', 'alpha': 0.06934111521663792, 'batch_size': 93, 'early_stopping': True, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'learning_rate_init': 0.055044122426660395, 'max_iter': 5000, 'momentum': 0.3, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.001010642168087602, 'validation_fraction': 0.3}",1.1925715403255628,1.2248246460543253,1.2810489741033415,1.0281886862823177,1.1215880762575394,1.0794464824643082,1.2648259785378015,1.1246133053794656,1.1050474146280633,1.166263019404141,1.1588418123436868,0.07780800961397835,1708
399,0.5116368532180786,0.10138462737031355,0.0012047767639160156,0.0003149649987271682,logistic,0.015500397948406807,173,True,"(25, 25)",constant,0.0803204998834555,5000,0.3,25,69,adam,0.0010265148645193655,0.3,"{'activation': 'logistic', 'alpha': 0.015500397948406807, 'batch_size': 173, 'early_stopping': True, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'constant', 'learning_rate_init': 0.0803204998834555, 'max_iter': 5000, 'momentum': 0.3, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'adam', 'tol': 0.0010265148645193655, 'validation_fraction': 0.3}",1.173983876457385,1.2876469524548102,1.1796984228409395,1.090539413890948,1.0641577091577463,1.0568746549010721,1.1865264105532516,1.1779147225936413,1.1562423215720925,1.2167743606543135,1.1590358845076199,0.06765753202930734,1707
708,2.116847825050354,0.5928828785492335,0.0023589849472045897,0.0010440773760939303,tanh,0.04570507294318574,573,True,"(100, 100)",adaptive,0.08593630004756857,5000,0.9,50,69,adam,0.001048575559815609,0.3,"{'activation': 'tanh', 'alpha': 0.04570507294318574, 'batch_size': 573, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.08593630004756857, 'max_iter': 5000, 'momentum': 0.9, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.001048575559815609, 'validation_fraction': 0.3}",1.1861444901689164,1.2720322898810033,1.3019818410538408,1.0679785844498133,1.1239756866992272,1.0604697222906139,1.137280585932963,1.2092359433712072,1.132499620638226,1.1425738477454386,1.1634172612231253,0.07546462388480038,1706
312,1.9956413745880126,0.27269212776618507,0.0021982431411743165,0.00043166572885065693,tanh,0.09339025336273385,619,True,"(100, 100)",invscaling,0.02484752888932728,5000,0.9,25,69,adam,0.0010521274252938374,0.3,"{'activation': 'tanh', 'alpha': 0.09339025336273385, 'batch_size': 619, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.02484752888932728, 'max_iter': 5000, 'momentum': 0.9, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'adam', 'tol': 0.0010521274252938374, 'validation_fraction': 0.3}",1.1893962802025964,1.2617323025475757,1.269508846324181,1.0713787177478422,1.1530033336792467,1.0589747359562098,1.1785685569125097,1.1698464344211827,1.1602385066586554,1.1263813256910673,1.163902904014107,0.06537145264125543,1705
340,0.45499911308288576,0.06467032414310447,0.002440476417541504,0.003581812927561001,logistic,0.09966585556048747,536,True,"(50,)",adaptive,0.4660878588294645,5000,0.9,50,69,adam,0.0010543609345081892,0.3,"{'activation': 'logistic', 'alpha': 0.09966585556048747, 'batch_size': 536, 'early_stopping': True, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.4660878588294645, 'max_iter': 5000, 'momentum': 0.9, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0010543609345081892, 'validation_fraction': 0.3}",1.2139000462602436,1.2894729902184991,1.1698166286850784,1.0696506710971938,1.1026404691836866,1.0802412213755606,1.2149056905973918,1.2046173293350004,1.1412584684668226,1.1583186556759624,1.1644822170895441,0.06537425052539077,1704
1950,0.37634375095367434,0.08918358155317774,0.0008641958236694336,0.00010372036045839882,logistic,0.09333165863481355,425,True,"(50,)",adaptive,0.43801354852539476,5000,0.7,50,69,adam,0.001040142324012823,0.3,"{'activation': 'logistic', 'alpha': 0.09333165863481355, 'batch_size': 425, 'early_stopping': True, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.43801354852539476, 'max_iter': 5000, 'momentum': 0.7, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.001040142324012823, 'validation_fraction': 0.3}",1.2039525628495433,1.3026045767155743,1.2055897854398752,1.0559932155259775,1.108533969721927,1.0661057124843447,1.1927768198497035,1.2305434915560312,1.1310644889455492,1.1583545403341127,1.1655519163422638,0.07294591149760346,1703
